FCODE$,FEMID$,SITE$,Age,FSVLAFTER
,,OR,0.01,29.42
,,OR,0.01,29.42
,,CP,0.01,29.42
,,CP,0.01,29.42
,,CP,0.01,29.42
,,CP,0.01,29.42
,,OR,0.01,29.43
,,OR,0.01,29.43
,,OR,0.01,29.43
,,OR,0.01,29.43
,,OR,0.01,29.43
,,OR,0.01,29.43
,,OR,0.01,29.43
,,OR,0.01,29.43
,,OR,0.01,29.43
,,OR,0.01,29.43
,,OR,0.01,29.43
,,CP,0.01,29.43
,,CP,0.01,29.43
,,CP,0.01,29.43
,,CP,0.01,29.43
,,CP,0.01,29.43
,,OR,0.01,29.44
,,OR,0.01,29.44
,,OR,0.01,29.44
,,OR,0.01,29.44
,,OR,0.01,29.44
,,OR,0.01,29.44
,,CP,0.01,29.44
,,CP,0.01,29.44
,,CP,0.01,29.44
,,CP,0.01,29.44
,,CP,0.01,29.44
,,CP,0.01,29.44
,,CP,0.01,29.44
,,CP,0.01,29.44
,,OR,0.01,29.45
,,OR,0.01,29.45
,,OR,0.01,29.45
,,OR,0.01,29.45
,,OR,0.01,29.45
,,OR,0.01,29.45
,,OR,0.01,29.45
,,CP,0.01,29.45
,,CP,0.01,29.45
,,CP,0.01,29.45
,,CP,0.01,29.45
,,CP,0.01,29.45
,,CP,0.01,29.45
,,OR,0.01,29.46
,,OR,0.01,29.46
,,CP,0.01,29.46
,,CP,0.01,29.46
,,CP,0.01,29.46
,,CP,0.01,29.46
,,CP,0.01,29.46
,,OR,0.01,29.47
,,OR,0.01,29.47
,,OR,0.01,29.47
,,OR,0.01,29.47
,,OR,0.01,29.47
,,OR,0.01,29.47
,,OR,0.01,29.47
,,CP,0.01,29.47
,,CP,0.01,29.47
,,CP,0.01,29.47
,,CP,0.01,29.47
,,CP,0.01,29.47
,,CP,0.01,29.47
,,CP,0.01,29.47
,,OR,0.01,29.48
,,OR,0.01,29.48
,,OR,0.01,29.48
,,OR,0.01,29.48
,,OR,0.01,29.48
,,OR,0.01,29.48
,,OR,0.01,29.48
,,OR,0.01,29.48
,,CP,0.01,29.48
,,CP,0.01,29.48
,,CP,0.01,29.48
,,CP,0.01,29.48
,,CP,0.01,29.48
,,CP,0.01,29.48
,,OR,0.01,29.49
,,OR,0.01,29.49
,,OR,0.01,29.49
,,OR,0.01,29.49
,,OR,0.01,29.49
,,OR,0.01,29.49
,,OR,0.01,29.49
,,OR,0.01,29.49
,,CP,0.01,29.49
,,CP,0.01,29.49
,,CP,0.01,29.49
,,CP,0.01,29.49
,,CP,0.01,29.49
,,CP,0.01,29.49
,,OR,0.01,29.5
,,OR,0.01,29.5
,,OR,0.01,29.5
,,OR,0.01,29.5
,,OR,0.01,29.5
,,OR,0.01,29.5
,,OR,0.01,29.5
,,OR,0.01,29.5
,,OR,0.01,29.5
,,OR,0.01,29.5
,,OR,0.01,29.5
,,CP,0.01,29.5
,,CP,0.01,29.5
,,CP,0.01,29.5
,,CP,0.01,29.5
,,CP,0.01,29.5
,,CP,0.01,29.5
,,CP,0.01,29.5
,,CP,0.01,29.5
,,CP,0.01,29.5
,,OR,0.01,29.51
,,OR,0.01,29.51
,,OR,0.01,29.51
,,OR,0.01,29.51
,,OR,0.01,29.51
,,OR,0.01,29.51
,,OR,0.01,29.51
,,CP,0.01,29.51
,,CP,0.01,29.51
,,CP,0.01,29.51
,,CP,0.01,29.51
,,OR,0.01,29.52
,,OR,0.01,29.52
,,OR,0.01,29.52
,,OR,0.01,29.52
,,OR,0.01,29.52
,,OR,0.01,29.52
,,CP,0.01,29.52
,,OR,0.01,29.53
,,OR,0.01,29.53
,,OR,0.01,29.53
,,OR,0.01,29.53
,,OR,0.01,29.53
,,CP,0.01,29.53
,,CP,0.01,29.53
,,CP,0.01,29.53
,,CP,0.01,29.53
,,CP,0.01,29.53
,,CP,0.01,29.53
,,CP,0.01,29.53
,,OR,0.01,29.54
,,OR,0.01,29.54
,,OR,0.01,29.54
,,OR,0.01,29.54
,,OR,0.01,29.54
,,OR,0.01,29.54
,,OR,0.01,29.54
,,CP,0.01,29.54
,,CP,0.01,29.54
,,CP,0.01,29.54
,,CP,0.01,29.54
,,CP,0.01,29.54
,,CP,0.01,29.54
,,OR,0.01,29.55
,,OR,0.01,29.55
,,OR,0.01,29.55
,,OR,0.01,29.55
,,OR,0.01,29.55
,,OR,0.01,29.55
,,OR,0.01,29.55
,,CP,0.01,29.55
,,CP,0.01,29.55
,,CP,0.01,29.55
,,CP,0.01,29.55
,,CP,0.01,29.55
,,CP,0.01,29.55
,,CP,0.01,29.55
,,CP,0.01,29.55
,,OR,0.01,29.56
,,OR,0.01,29.56
,,CP,0.01,29.56
,,CP,0.01,29.56
,,CP,0.01,29.56
,,CP,0.01,29.56
,,CP,0.01,29.56
,,CP,0.01,29.56
,,CP,0.01,29.56
,,OR,0.01,29.57
,,OR,0.01,29.57
,,OR,0.01,29.57
,,OR,0.01,29.57
,,OR,0.01,29.57
,,OR,0.01,29.57
,,OR,0.01,29.57
,,CP,0.01,29.57
,,CP,0.01,29.57
,,CP,0.01,29.57
,,CP,0.01,29.57
,,CP,0.01,29.57
,,CP,0.01,29.57
,,CP,0.01,29.57
,,OR,0.01,29.58
,,OR,0.01,29.58
,,OR,0.01,29.58
,,OR,0.01,29.58
,,OR,0.01,29.58
,,CP,0.01,29.58
,,CP,0.01,29.58
,,CP,0.01,29.58
,,CP,0.01,29.58
,,CP,0.01,29.58
,,CP,0.01,29.58
,,OR,0.01,29.59
,,OR,0.01,29.59
,,OR,0.01,29.59
,,OR,0.01,29.59
,,OR,0.01,29.59
,,OR,0.01,29.59
,,OR,0.01,29.59
,,CP,0.01,29.59
,,CP,0.01,29.59
,,CP,0.01,29.59
,,CP,0.01,29.59
,,CP,0.01,29.59
,,CP,0.01,29.59
,,CP,0.01,29.59
,,CP,0.01,29.59
,,CP,0.01,29.59
,,CP,0.01,29.59
,,OR,0.01,29.6
,,OR,0.01,29.6
,,OR,0.01,29.6
,,OR,0.01,29.6
,,OR,0.01,29.6
,,OR,0.01,29.6
,,OR,0.01,29.6
,,OR,0.01,29.6
,,OR,0.01,29.6
,,OR,0.01,29.6
,,OR,0.01,29.6
,,OR,0.01,29.6
,,OR,0.01,29.6
,,CP,0.01,29.6
,,CP,0.01,29.6
,,CP,0.01,29.6
,,CP,0.01,29.6
,,CP,0.01,29.6
,,CP,0.01,29.6
,,CP,0.01,29.6
,,CP,0.01,29.6
,,CP,0.01,29.6
,,CP,0.01,29.6
,,CP,0.01,29.6
,,CP,0.01,29.6
,,CP,0.01,29.6
,,CP,0.01,29.6
,,OR,0.01,29.61
,,OR,0.01,29.61
,,OR,0.01,29.61
,,OR,0.01,29.61
,,OR,0.01,29.61
,,OR,0.01,29.61
,,OR,0.01,29.61
,,OR,0.01,29.61
,,OR,0.01,29.61
,,OR,0.01,29.61
,,CP,0.01,29.61
,,CP,0.01,29.61
,,CP,0.01,29.61
,,CP,0.01,29.61
,,CP,0.01,29.61
,,OR,0.01,29.62
,,OR,0.01,29.62
,,OR,0.01,29.62
,,OR,0.01,29.62
,,OR,0.01,29.62
,,CP,0.01,29.62
,,CP,0.01,29.62
,,CP,0.01,29.62
,,CP,0.01,29.62
,,OR,0.01,29.63
,,OR,0.01,29.63
,,OR,0.01,29.63
,,OR,0.01,29.63
,,OR,0.01,29.63
,,OR,0.01,29.63
,,OR,0.01,29.63
,,OR,0.01,29.63
,,CP,0.01,29.63
,,CP,0.01,29.63
,,CP,0.01,29.63
,,CP,0.01,29.63
,,CP,0.01,29.63
,,CP,0.01,29.63
,,CP,0.01,29.63
,,CP,0.01,29.63
,,OR,0.01,29.64
,,OR,0.01,29.64
,,OR,0.01,29.64
,,OR,0.01,29.64
,,OR,0.01,29.64
,,OR,0.01,29.64
,,CP,0.01,29.64
,,CP,0.01,29.64
,,CP,0.01,29.64
,,CP,0.01,29.64
,,OR,0.01,29.65
,,OR,0.01,29.65
,,OR,0.01,29.65
,,OR,0.01,29.65
,,CP,0.01,29.65
,,CP,0.01,29.65
,,CP,0.01,29.65
,,CP,0.01,29.65
,,CP,0.01,29.65
,,CP,0.01,29.65
,,CP,0.01,29.65
,,CP,0.01,29.65
,,CP,0.01,29.65
,,OR,0.01,29.66
,,OR,0.01,29.66
,,OR,0.01,29.66
,,OR,0.01,29.66
,,OR,0.01,29.66
,,OR,0.01,29.66
,,CP,0.01,29.66
,,CP,0.01,29.66
,,CP,0.01,29.66
,,CP,0.01,29.66
,,CP,0.01,29.66
,,CP,0.01,29.66
,,CP,0.01,29.66
,,CP,0.01,29.66
,,CP,0.01,29.66
,,CP,0.01,29.66
,,CP,0.01,29.66
,,OR,0.01,29.67
,,OR,0.01,29.67
,,OR,0.01,29.67
,,OR,0.01,29.67
,,OR,0.01,29.67
,,OR,0.01,29.67
,,OR,0.01,29.67
,,OR,0.01,29.67
,,OR,0.01,29.67
,,CP,0.01,29.67
,,CP,0.01,29.67
,,CP,0.01,29.67
,,CP,0.01,29.67
,,CP,0.01,29.67
,,CP,0.01,29.67
,,CP,0.01,29.67
,,CP,0.01,29.67
,,OR,0.01,29.68
,,OR,0.01,29.68
,,OR,0.01,29.68
,,OR,0.01,29.68
,,OR,0.01,29.68
,,CP,0.01,29.68
,,CP,0.01,29.68
,,CP,0.01,29.68
,,CP,0.01,29.68
,,CP,0.01,29.68
,,CP,0.01,29.68
,,CP,0.01,29.68
,,CP,0.01,29.68
,,OR,0.01,29.69
,,OR,0.01,29.69
,,OR,0.01,29.69
,,OR,0.01,29.69
,,OR,0.01,29.69
,,OR,0.01,29.69
,,OR,0.01,29.69
,,OR,0.01,29.69
,,OR,0.01,29.69
,,CP,0.01,29.69
,,CP,0.01,29.69
,,CP,0.01,29.69
,,CP,0.01,29.69
,,CP,0.01,29.69
,,OR,0.01,29.7
,,OR,0.01,29.7
,,OR,0.01,29.7
,,OR,0.01,29.7
,,OR,0.01,29.7
,,OR,0.01,29.7
,,OR,0.01,29.7
,,OR,0.01,29.7
,,OR,0.01,29.7
,,OR,0.01,29.7
,,OR,0.01,29.7
,,OR,0.01,29.7
,,OR,0.01,29.7
,,CP,0.01,29.7
,,CP,0.01,29.7
,,CP,0.01,29.7
,,CP,0.01,29.7
,,CP,0.01,29.7
,,CP,0.01,29.7
,,CP,0.01,29.7
,,CP,0.01,29.7
,,OR,0.01,29.71
,,OR,0.01,29.71
,,OR,0.01,29.71
,,OR,0.01,29.71
,,CP,0.01,29.71
,,CP,0.01,29.71
,,CP,0.01,29.71
,,CP,0.01,29.71
,,CP,0.01,29.71
,,CP,0.01,29.71
,,CP,0.01,29.71
,,CP,0.01,29.71
,,CP,0.01,29.71
,,CP,0.01,29.71
,,CP,0.01,29.71
,,CP,0.01,29.71
,,OR,0.01,29.72
,,OR,0.01,29.72
,,CP,0.01,29.72
,,CP,0.01,29.72
,,CP,0.01,29.72
,,CP,0.01,29.72
,,CP,0.01,29.72
,,CP,0.01,29.72
,,CP,0.01,29.72
,,CP,0.01,29.72
,,CP,0.01,29.72
,,CP,0.01,29.72
,,CP,0.01,29.72
,,OR,0.01,29.73
,,OR,0.01,29.73
,,OR,0.01,29.73
,,OR,0.01,29.73
,,OR,0.01,29.73
,,OR,0.01,29.73
,,OR,0.01,29.73
,,OR,0.01,29.73
,,OR,0.01,29.73
,,OR,0.01,29.73
,,OR,0.01,29.73
,,CP,0.01,29.73
,,CP,0.01,29.73
,,CP,0.01,29.73
,,CP,0.01,29.73
,,CP,0.01,29.73
,,CP,0.01,29.73
,,CP,0.01,29.73
,,CP,0.01,29.73
,,CP,0.01,29.73
,,OR,0.01,29.74
,,OR,0.01,29.74
,,OR,0.01,29.74
,,OR,0.01,29.74
,,CP,0.01,29.74
,,CP,0.01,29.74
,,CP,0.01,29.74
,,CP,0.01,29.74
,,CP,0.01,29.74
,,CP,0.01,29.74
,,OR,0.01,29.75
,,OR,0.01,29.75
,,OR,0.01,29.75
,,OR,0.01,29.75
,,OR,0.01,29.75
,,OR,0.01,29.75
,,OR,0.01,29.75
,,OR,0.01,29.75
,,OR,0.01,29.75
,,OR,0.01,29.75
,,OR,0.01,29.75
,,CP,0.01,29.75
,,CP,0.01,29.75
,,CP,0.01,29.75
,,CP,0.01,29.75
,,CP,0.01,29.75
,,CP,0.01,29.75
,,CP,0.01,29.75
,,CP,0.01,29.75
,,CP,0.01,29.75
,,CP,0.01,29.75
,,OR,0.01,29.76
,,OR,0.01,29.76
,,OR,0.01,29.76
,,OR,0.01,29.76
,,OR,0.01,29.76
,,OR,0.01,29.76
,,CP,0.01,29.76
,,CP,0.01,29.76
,,CP,0.01,29.76
,,CP,0.01,29.76
,,CP,0.01,29.76
,,CP,0.01,29.76
,,CP,0.01,29.76
,,OR,0.01,29.77
,,OR,0.01,29.77
,,OR,0.01,29.77
,,OR,0.01,29.77
,,OR,0.01,29.77
,,OR,0.01,29.77
,,OR,0.01,29.77
,,OR,0.01,29.77
,,CP,0.01,29.77
,,CP,0.01,29.77
,,CP,0.01,29.77
,,CP,0.01,29.77
,,CP,0.01,29.77
,,CP,0.01,29.77
,,CP,0.01,29.77
,,CP,0.01,29.77
,,CP,0.01,29.77
,,CP,0.01,29.77
,,CP,0.01,29.77
,,OR,0.01,29.78
,,OR,0.01,29.78
,,OR,0.01,29.78
,,OR,0.01,29.78
,,OR,0.01,29.78
,,OR,0.01,29.78
,,OR,0.01,29.78
,,OR,0.01,29.78
,,OR,0.01,29.78
,,OR,0.01,29.78
,,OR,0.01,29.78
,,OR,0.01,29.78
,,OR,0.01,29.78
,,OR,0.01,29.78
,,CP,0.01,29.78
,,CP,0.01,29.78
,,CP,0.01,29.78
,,CP,0.01,29.78
,,CP,0.01,29.78
,,CP,0.01,29.78
,,CP,0.01,29.78
,,CP,0.01,29.78
,,CP,0.01,29.78
,,CP,0.01,29.78
,,CP,0.01,29.78
,,CP,0.01,29.78
,,CP,0.01,29.78
,,CP,0.01,29.78
,,CP,0.01,29.78
,,OR,0.01,29.79
,,OR,0.01,29.79
,,OR,0.01,29.79
,,OR,0.01,29.79
,,CP,0.01,29.79
,,CP,0.01,29.79
,,CP,0.01,29.79
,,CP,0.01,29.79
,,CP,0.01,29.79
,,CP,0.01,29.79
,,CP,0.01,29.79
,,CP,0.01,29.79
,,OR,0.01,29.8
,,OR,0.01,29.8
,,OR,0.01,29.8
,,OR,0.01,29.8
,,OR,0.01,29.8
,,OR,0.01,29.8
,,OR,0.01,29.8
,,OR,0.01,29.8
,,CP,0.01,29.8
,,CP,0.01,29.8
,,CP,0.01,29.8
,,CP,0.01,29.8
,,CP,0.01,29.8
,,CP,0.01,29.8
,,CP,0.01,29.8
,,OR,0.01,29.81
,,OR,0.01,29.81
,,OR,0.01,29.81
,,CP,0.01,29.81
,,CP,0.01,29.81
,,CP,0.01,29.81
,,CP,0.01,29.81
,,CP,0.01,29.81
,,CP,0.01,29.81
,,OR,0.01,29.82
,,OR,0.01,29.82
,,OR,0.01,29.82
,,OR,0.01,29.82
,,OR,0.01,29.82
,,CP,0.01,29.82
,,CP,0.01,29.82
,,CP,0.01,29.82
,,CP,0.01,29.82
,,OR,0.01,29.83
,,OR,0.01,29.83
,,OR,0.01,29.83
,,OR,0.01,29.83
,,OR,0.01,29.83
,,OR,0.01,29.83
,,OR,0.01,29.83
,,OR,0.01,29.83
,,OR,0.01,29.83
,,CP,0.01,29.83
,,CP,0.01,29.83
,,CP,0.01,29.83
,,CP,0.01,29.83
,,CP,0.01,29.83
,,CP,0.01,29.83
,,CP,0.01,29.83
,,CP,0.01,29.83
,,CP,0.01,29.83
,,CP,0.01,29.83
,,OR,0.01,29.84
,,OR,0.01,29.84
,,OR,0.01,29.84
,,OR,0.01,29.84
,,OR,0.01,29.84
,,OR,0.01,29.84
,,OR,0.01,29.84
,,OR,0.01,29.84
,,OR,0.01,29.84
,,OR,0.01,29.84
,,OR,0.01,29.84
,,CP,0.01,29.84
,,CP,0.01,29.84
,,CP,0.01,29.84
,,CP,0.01,29.84
,,CP,0.01,29.84
,,CP,0.01,29.84
,,CP,0.01,29.84
,,CP,0.01,29.84
,,OR,0.01,29.85
,,OR,0.01,29.85
,,OR,0.01,29.85
,,OR,0.01,29.85
,,OR,0.01,29.85
,,OR,0.01,29.85
,,OR,0.01,29.85
,,OR,0.01,29.85
,,OR,0.01,29.85
,,CP,0.01,29.85
,,CP,0.01,29.85
,,CP,0.01,29.85
,,CP,0.01,29.85
,,CP,0.01,29.85
,,CP,0.01,29.85
,,CP,0.01,29.85
,,CP,0.01,29.85
,,CP,0.01,29.85
,,CP,0.01,29.85
,,OR,0.01,29.86
,,OR,0.01,29.86
,,OR,0.01,29.86
,,OR,0.01,29.86
,,OR,0.01,29.86
,,OR,0.01,29.86
,,OR,0.01,29.86
,,OR,0.01,29.86
,,CP,0.01,29.86
,,CP,0.01,29.86
,,CP,0.01,29.86
,,CP,0.01,29.86
,,CP,0.01,29.86
,,CP,0.01,29.86
,,CP,0.01,29.86
,,CP,0.01,29.86
,,CP,0.01,29.86
,,OR,0.01,29.87
,,OR,0.01,29.87
,,OR,0.01,29.87
,,OR,0.01,29.87
,,OR,0.01,29.87
,,OR,0.01,29.87
,,OR,0.01,29.87
,,OR,0.01,29.87
,,OR,0.01,29.87
,,OR,0.01,29.87
,,OR,0.01,29.87
,,OR,0.01,29.87
,,CP,0.01,29.87
,,CP,0.01,29.87
,,CP,0.01,29.87
,,CP,0.01,29.87
,,CP,0.01,29.87
,,CP,0.01,29.87
,,CP,0.01,29.87
,,CP,0.01,29.87
,,CP,0.01,29.87
,,CP,0.01,29.87
,,OR,0.01,29.88
,,OR,0.01,29.88
,,OR,0.01,29.88
,,OR,0.01,29.88
,,OR,0.01,29.88
,,OR,0.01,29.88
,,OR,0.01,29.88
,,OR,0.01,29.88
,,CP,0.01,29.88
,,CP,0.01,29.88
,,CP,0.01,29.88
,,CP,0.01,29.88
,,CP,0.01,29.88
,,CP,0.01,29.88
,,CP,0.01,29.88
,,CP,0.01,29.88
,,CP,0.01,29.88
,,OR,0.01,29.89
,,OR,0.01,29.89
,,OR,0.01,29.89
,,OR,0.01,29.89
,,OR,0.01,29.89
,,OR,0.01,29.89
,,OR,0.01,29.89
,,OR,0.01,29.89
,,OR,0.01,29.89
,,CP,0.01,29.89
,,CP,0.01,29.89
,,CP,0.01,29.89
,,CP,0.01,29.89
,,CP,0.01,29.89
,,CP,0.01,29.89
,,CP,0.01,29.89
,,CP,0.01,29.89
,,CP,0.01,29.89
,,CP,0.01,29.89
,,CP,0.01,29.89
,,OR,0.01,29.9
,,OR,0.01,29.9
,,OR,0.01,29.9
,,OR,0.01,29.9
,,OR,0.01,29.9
,,OR,0.01,29.9
,,OR,0.01,29.9
,,OR,0.01,29.9
,,OR,0.01,29.9
,,CP,0.01,29.9
,,CP,0.01,29.9
,,CP,0.01,29.9
,,CP,0.01,29.9
,,CP,0.01,29.9
,,CP,0.01,29.9
,,CP,0.01,29.9
,,CP,0.01,29.9
,,OR,0.01,29.91
,,OR,0.01,29.91
,,OR,0.01,29.91
,,OR,0.01,29.91
,,OR,0.01,29.91
,,OR,0.01,29.91
,,OR,0.01,29.91
,,CP,0.01,29.91
,,CP,0.01,29.91
,,CP,0.01,29.91
,,OR,0.01,29.92
,,OR,0.01,29.92
,,OR,0.01,29.92
,,OR,0.01,29.92
,,OR,0.01,29.92
,,OR,0.01,29.92
,,OR,0.01,29.92
,,CP,0.01,29.92
,,CP,0.01,29.92
,,CP,0.01,29.92
,,CP,0.01,29.92
,,CP,0.01,29.92
,,CP,0.01,29.92
,,CP,0.01,29.92
,,CP,0.01,29.92
,,CP,0.01,29.92
,,CP,0.01,29.92
,,CP,0.01,29.92
,,OR,0.01,29.93
,,OR,0.01,29.93
,,OR,0.01,29.93
,,OR,0.01,29.93
,,OR,0.01,29.93
,,OR,0.01,29.93
,,CP,0.01,29.93
,,CP,0.01,29.93
,,CP,0.01,29.93
,,CP,0.01,29.93
,,CP,0.01,29.93
,,CP,0.01,29.93
,,CP,0.01,29.93
,,CP,0.01,29.93
,,CP,0.01,29.93
,,CP,0.01,29.93
,,CP,0.01,29.93
,,CP,0.01,29.93
,,OR,0.01,29.94
,,OR,0.01,29.94
,,OR,0.01,29.94
,,OR,0.01,29.94
,,OR,0.01,29.94
,,OR,0.01,29.94
,,OR,0.01,29.94
,,OR,0.01,29.94
,,CP,0.01,29.94
,,CP,0.01,29.94
,,CP,0.01,29.94
,,CP,0.01,29.94
,,CP,0.01,29.94
,,CP,0.01,29.94
,,OR,0.01,29.95
,,OR,0.01,29.95
,,OR,0.01,29.95
,,OR,0.01,29.95
,,CP,0.01,29.95
,,CP,0.01,29.95
,,CP,0.01,29.95
,,CP,0.01,29.95
,,CP,0.01,29.95
,,CP,0.01,29.95
,,CP,0.01,29.95
,,OR,0.01,29.96
,,OR,0.01,29.96
,,OR,0.01,29.96
,,OR,0.01,29.96
,,OR,0.01,29.96
,,OR,0.01,29.96
,,OR,0.01,29.96
,,OR,0.01,29.96
,,CP,0.01,29.96
,,CP,0.01,29.96
,,CP,0.01,29.96
,,CP,0.01,29.96
,,CP,0.01,29.96
,,CP,0.01,29.96
,,CP,0.01,29.96
,,OR,0.01,29.97
,,OR,0.01,29.97
,,OR,0.01,29.97
,,OR,0.01,29.97
,,OR,0.01,29.97
,,OR,0.01,29.97
,,OR,0.01,29.97
,,OR,0.01,29.97
,,CP,0.01,29.97
,,CP,0.01,29.97
,,CP,0.01,29.97
,,CP,0.01,29.97
,,CP,0.01,29.97
,,CP,0.01,29.97
,,CP,0.01,29.97
,,CP,0.01,29.97
,,CP,0.01,29.97
,,OR,0.01,29.98
,,OR,0.01,29.98
,,OR,0.01,29.98
,,OR,0.01,29.98
,,OR,0.01,29.98
,,OR,0.01,29.98
,,OR,0.01,29.98
,,OR,0.01,29.98
,,OR,0.01,29.98
,,CP,0.01,29.98
,,CP,0.01,29.98
,,CP,0.01,29.98
,,CP,0.01,29.98
,,CP,0.01,29.98
,,CP,0.01,29.98
,,CP,0.01,29.98
,,CP,0.01,29.98
,,CP,0.01,29.98
,,CP,0.01,29.98
,,OR,0.01,29.99
,,OR,0.01,29.99
,,OR,0.01,29.99
,,OR,0.01,29.99
,,OR,0.01,29.99
,,OR,0.01,29.99
,,OR,0.01,29.99
,,OR,0.01,29.99
,,CP,0.01,29.99
,,CP,0.01,29.99
,,CP,0.01,29.99
,,CP,0.01,29.99
,,CP,0.01,29.99
,,CP,0.01,29.99
,,CP,0.01,29.99
,,CP,0.01,29.99
,,CP,0.01,29.99
,,CP,0.01,29.99
,,CP,0.01,29.99
,,CP,0.01,29.99
,,CP,0.01,29.99
,,OR,0.01,30
,,OR,0.01,30
,,OR,0.01,30
,,OR,0.01,30
,,OR,0.01,30
,,CP,0.01,30
,,CP,0.01,30
,,CP,0.01,30
,,CP,0.01,30
,,CP,0.01,30
,,CP,0.01,30
,,CP,0.01,30
,,CP,0.01,30
,,CP,0.01,30
,,CP,0.01,30
,,CP,0.01,30
,,CP,0.01,30
,,OR,0.01,30.01
,,OR,0.01,30.01
,,OR,0.01,30.01
,,OR,0.01,30.01
,,OR,0.01,30.01
,,OR,0.01,30.01
,,CP,0.01,30.01
,,CP,0.01,30.01
,,CP,0.01,30.01
,,CP,0.01,30.01
,,CP,0.01,30.01
,,CP,0.01,30.01
,,CP,0.01,30.01
,,CP,0.01,30.01
,,CP,0.01,30.01
,,CP,0.01,30.01
,,OR,0.01,30.02
,,OR,0.01,30.02
,,OR,0.01,30.02
,,OR,0.01,30.02
,,CP,0.01,30.02
,,CP,0.01,30.02
,,CP,0.01,30.02
,,CP,0.01,30.02
,,CP,0.01,30.02
,,CP,0.01,30.02
,,CP,0.01,30.02
,,OR,0.01,30.03
,,OR,0.01,30.03
,,OR,0.01,30.03
,,OR,0.01,30.03
,,OR,0.01,30.03
,,CP,0.01,30.03
,,CP,0.01,30.03
,,CP,0.01,30.03
,,CP,0.01,30.03
,,CP,0.01,30.03
,,CP,0.01,30.03
,,CP,0.01,30.03
,,CP,0.01,30.03
,,CP,0.01,30.03
,,OR,0.01,30.04
,,OR,0.01,30.04
,,OR,0.01,30.04
,,CP,0.01,30.04
,,CP,0.01,30.04
,,CP,0.01,30.04
,,CP,0.01,30.04
,,CP,0.01,30.04
,,CP,0.01,30.04
,,CP,0.01,30.04
,,OR,0.01,30.05
,,OR,0.01,30.05
,,OR,0.01,30.05
,,CP,0.01,30.05
,,CP,0.01,30.05
,,CP,0.01,30.05
,,CP,0.01,30.05
,,CP,0.01,30.05
,,CP,0.01,30.05
,,CP,0.01,30.05
,,CP,0.01,30.05
,,CP,0.01,30.05
,,OR,0.01,30.06
,,OR,0.01,30.06
,,OR,0.01,30.06
,,OR,0.01,30.06
,,OR,0.01,30.06
,,OR,0.01,30.06
,,CP,0.01,30.06
,,CP,0.01,30.06
,,CP,0.01,30.06
,,CP,0.01,30.06
,,CP,0.01,30.06
,,CP,0.01,30.06
,,CP,0.01,30.06
,,CP,0.01,30.06
,,CP,0.01,30.06
,,CP,0.01,30.06
,,CP,0.01,30.06
,,OR,0.01,30.07
,,OR,0.01,30.07
,,OR,0.01,30.07
,,OR,0.01,30.07
,,CP,0.01,30.07
,,CP,0.01,30.07
,,CP,0.01,30.07
,,CP,0.01,30.07
,,CP,0.01,30.07
,,CP,0.01,30.07
,,CP,0.01,30.07
,,CP,0.01,30.07
,,CP,0.01,30.07
,,CP,0.01,30.07
,,CP,0.01,30.07
,,CP,0.01,30.07
,,CP,0.01,30.07
,,OR,0.01,30.08
,,OR,0.01,30.08
,,OR,0.01,30.08
,,OR,0.01,30.08
,,CP,0.01,30.08
,,CP,0.01,30.08
,,CP,0.01,30.08
,,CP,0.01,30.08
,,CP,0.01,30.08
,,CP,0.01,30.08
,,OR,0.01,30.09
,,OR,0.01,30.09
,,OR,0.01,30.09
,,OR,0.01,30.09
,,OR,0.01,30.09
,,OR,0.01,30.09
,,OR,0.01,30.09
,,CP,0.01,30.09
,,CP,0.01,30.09
,,CP,0.01,30.09
,,CP,0.01,30.09
,,CP,0.01,30.09
,,CP,0.01,30.09
,,CP,0.01,30.09
,,CP,0.01,30.09
,,CP,0.01,30.09
,,CP,0.01,30.09
,,CP,0.01,30.09
,,CP,0.01,30.09
,,OR,0.01,30.1
,,OR,0.01,30.1
,,OR,0.01,30.1
,,OR,0.01,30.1
,,OR,0.01,30.1
,,OR,0.01,30.1
,,OR,0.01,30.1
,,OR,0.01,30.1
,,OR,0.01,30.1
,,OR,0.01,30.1
,,OR,0.01,30.1
,,OR,0.01,30.1
,,OR,0.01,30.1
,,OR,0.01,30.1
,,OR,0.01,30.1
,,CP,0.01,30.1
,,CP,0.01,30.1
,,CP,0.01,30.1
,,CP,0.01,30.1
,,CP,0.01,30.1
,,CP,0.01,30.1
,,CP,0.01,30.1
,,CP,0.01,30.1
,,CP,0.01,30.1
,,CP,0.01,30.1
,,CP,0.01,30.1
,,CP,0.01,30.1
,,CP,0.01,30.1
,,CP,0.01,30.1
,,CP,0.01,30.1
,,CP,0.01,30.1
,,CP,0.01,30.1
,,CP,0.01,30.1
,,CP,0.01,30.1
,,CP,0.01,30.1
,,OR,0.01,30.11
,,CP,0.01,30.11
,,CP,0.01,30.11
,,CP,0.01,30.11
,,CP,0.01,30.11
,,CP,0.01,30.11
,,CP,0.01,30.11
,,CP,0.01,30.11
,,CP,0.01,30.11
,,OR,0.01,30.12
,,OR,0.01,30.12
,,CP,0.01,30.12
,,CP,0.01,30.12
,,CP,0.01,30.12
,,CP,0.01,30.12
,,CP,0.01,30.12
,,CP,0.01,30.12
,,CP,0.01,30.12
,,CP,0.01,30.12
,,CP,0.01,30.12
,,CP,0.01,30.12
