FCODE$,FEMID$,SITE$,Age,FSVLAFTER
,,OR,0.01,29.24
,,OR,0.01,29.24
,,CP,0.01,29.24
,,CP,0.01,29.24
,,CP,0.01,29.24
,,CP,0.01,29.24
,,OR,0.01,29.25
,,OR,0.01,29.25
,,OR,0.01,29.25
,,OR,0.01,29.25
,,OR,0.01,29.25
,,OR,0.01,29.25
,,OR,0.01,29.25
,,CP,0.01,29.25
,,CP,0.01,29.25
,,OR,0.01,29.26
,,OR,0.01,29.26
,,OR,0.01,29.26
,,OR,0.01,29.26
,,OR,0.01,29.26
,,CP,0.01,29.26
,,CP,0.01,29.26
,,CP,0.01,29.26
,,CP,0.01,29.26
,,CP,0.01,29.26
,,CP,0.01,29.26
,,CP,0.01,29.26
,,CP,0.01,29.26
,,OR,0.01,29.27
,,OR,0.01,29.27
,,OR,0.01,29.27
,,OR,0.01,29.27
,,OR,0.01,29.27
,,OR,0.01,29.27
,,OR,0.01,29.27
,,OR,0.01,29.27
,,OR,0.01,29.27
,,OR,0.01,29.27
,,OR,0.01,29.27
,,OR,0.01,29.27
,,CP,0.01,29.27
,,CP,0.01,29.27
,,CP,0.01,29.27
,,OR,0.01,29.28
,,OR,0.01,29.28
,,OR,0.01,29.28
,,OR,0.01,29.28
,,OR,0.01,29.28
,,CP,0.01,29.28
,,CP,0.01,29.28
,,CP,0.01,29.28
,,CP,0.01,29.28
,,CP,0.01,29.28
,,OR,0.01,29.29
,,OR,0.01,29.29
,,OR,0.01,29.29
,,OR,0.01,29.29
,,OR,0.01,29.29
,,OR,0.01,29.29
,,CP,0.01,29.29
,,CP,0.01,29.29
,,CP,0.01,29.29
,,CP,0.01,29.29
,,CP,0.01,29.29
,,CP,0.01,29.29
,,OR,0.01,29.3
,,OR,0.01,29.3
,,OR,0.01,29.3
,,OR,0.01,29.3
,,OR,0.01,29.3
,,OR,0.01,29.3
,,OR,0.01,29.3
,,CP,0.01,29.3
,,CP,0.01,29.3
,,CP,0.01,29.3
,,CP,0.01,29.3
,,CP,0.01,29.3
,,OR,0.01,29.31
,,OR,0.01,29.31
,,OR,0.01,29.31
,,OR,0.01,29.31
,,OR,0.01,29.31
,,OR,0.01,29.31
,,OR,0.01,29.31
,,OR,0.01,29.31
,,CP,0.01,29.31
,,CP,0.01,29.31
,,CP,0.01,29.31
,,OR,0.01,29.32
,,OR,0.01,29.32
,,OR,0.01,29.32
,,OR,0.01,29.32
,,OR,0.01,29.32
,,OR,0.01,29.32
